M,N,a1,a2,b1,b2,c1,c2,d1,d2
256,128,0,3,0,3,0,3,0,3
No.,a,b,c,d,period
1,1,0,0,1,1
2,1,0,0,3,32
3,1,0,1,1,256
4,1,0,1,3,128
5,1,0,2,1,128
6,1,0,2,3,64
7,1,0,3,1,256
8,1,0,3,3,128
9,1,1,0,1,128
10,1,1,0,3,64
11,1,1,1,0,384
12,1,1,1,2,192
13,1,1,2,1,128
14,1,1,2,3,128
15,1,1,3,0,192
16,1,1,3,2,384
17,1,2,0,1,64
18,1,2,0,3,32
19,1,2,1,1,256
20,1,2,1,3,128
21,1,2,2,1,128
22,1,2,2,3,128
23,1,2,3,1,256
24,1,2,3,3,128
25,1,3,0,1,128
26,1,3,0,3,64
27,1,3,1,0,192
28,1,3,1,2,384
29,1,3,2,1,128
30,1,3,2,3,64
31,1,3,3,0,384
32,1,3,3,2,192
33,3,0,0,1,64
34,3,0,0,3,64
35,3,0,1,1,128
36,3,0,1,3,256
37,3,0,2,1,64
38,3,0,2,3,128
39,3,0,3,1,128
40,3,0,3,3,256
41,3,1,0,1,64
42,3,1,0,3,128
43,3,1,1,0,384
44,3,1,1,2,192
45,3,1,2,1,128
46,3,1,2,3,128
47,3,1,3,0,192
48,3,1,3,2,192
49,3,2,0,1,64
50,3,2,0,3,64
51,3,2,1,1,128
52,3,2,1,3,256
53,3,2,2,1,128
54,3,2,2,3,128
55,3,2,3,1,128
56,3,2,3,3,256
57,3,3,0,1,64
58,3,3,0,3,128
59,3,3,1,0,192
60,3,3,1,2,192
61,3,3,2,1,64
62,3,3,2,3,128
63,3,3,3,0,384
64,3,3,3,2,192
